Disease_Name,Symptom_List
Frozen shoulder,"['Stiffness ', ' Decreased motion of the shoulder ', ' Pain']"
Nonalcoholic fatty liver disease,"['Itching ', ' Weakness ', ' Yellow skin and eyes (jaundice) ', ' Loss of appetite ', ' Fatigue ', ' Pain in the upper right abdomen ', ' Nausea ', ' Fluid buildup and swelling in the legs and abdomen ', ' GI bleeding ', ' Mental confusion']"
Urinary tract infection - children,"['Flushed, warm, or reddened skin ', ' Pressure or pain in the lower pelvis or lower back ', ' Nausea and vomiting ', ' Wetting problems after the child has been toilet trained ', ' Frequent or urgent need to urinate ', ' Cloudy urine ', ' Severe pain in the belly area ', ' Pain or burning with urination ', ' Foul or strong urine odor ', ' Blood in the urine ', ' Fever ', ' General ill feeling (malaise) ', ' Chills with shaking ', ' Pain in the side (flank) or back']"
CPR - infant,"['No pulse ', ' No breathing ', ' Unconsciousness']"
Ectopic heartbeat,"['Feeling your heartbeat (palpitations) ', ' Feeling of occasional, forceful beats ', ' Feeling like your heart stopped or skipped a beat']"
Retropharyngeal abscess,"['High fever ', ' Breathing difficulty ', ' Drooling ', ' High-pitched sound when inhaling (stridor) ', ' Severe throat pain ', ' Muscles between the ribs pull in when breathing (intercostal retractions)']"
Pneumonia in children - community acquired,"['Fever, which may be mild or high, with chills and sweating ', ' Low energy and malaise (not feeling well) ', ' Sharp or stabbing chest pain that gets worse when breathing deeply or coughing ', ' Blue lips and fingernails due to too little oxygen in the blood ', ' Confusion or very hard to arouse ', ' Wheezing ', ' Stuffed up or runny nose, headaches ', ' Vomiting or loss of appetite ', ' Rapid breathing, with flared nostrils and straining of the muscles between the ribs ', ' Loud cough']"
Acromegaly,"['Excessive height (when excessÂ\xa0GH production begins in childhood) ', ' Jaw pain ', ' Large feet (change in shoe size), large hands (change in ring or glove size) ', ' Headache ', ' Blood in the stool ', ' Body odor ', ' Colon polyps ', ' Excess hair growth in females (hirsutism) ', ' High blood pressure ', ' Weight gain ', ' Hoarseness ', ' Joint pain, limited joint movement, swelling of the bony areas around a joint ', ' Sleep apnea ', ' Thyroid enlargement ', ' Widened fingers or toes, with swelling, redness, and pain ', ' Dental problems, gaps between the teeth ', ' Easy fatigue ', ' Excessive sweating ', ' Large bones of the face, large jaw and tongue, widely spaced teeth ', ' Decreased muscle strength (weakness) ', ' Enlarged tongue ', ' Large glands in the skin (sebaceous glands) causing oily skin, thickening of the skin, skin tags (growths) ', ' Type 2 diabetes ', ' Heart enlargement, which can cause fainting or shortness of breath ', ' Decreased peripheral vision ', ' Carpal tunnel syndrome']"
Facioscapulohumeral muscular dystrophy,"['Decreased facial expression due to weakness of facial muscles ', ' Depressed or angry facial expression ', ' Difficulty pronouncing words ', ' Difficulty reaching above the shoulder level ', ' Inability to whistle due to weakness of the cheek muscles ', ' Eyelid drooping']"
Neurosarcoidosis,"['Loss of sensation in any body part ', ' High urine output ', ' Headache ', ' Abnormal sensations in any body part ', ' Weight changes ', ' Mental disturbances ', ' Loss of movement of any body part ', ' Changes in menstrual periods ', ' Dizziness, vertigo, or abnormal sensations of movement ', ' Hair changes ', ' Facial palsy (weakness, drooping) ', ' Excessive thirst ', ' Speech impairment ', ' Loss of sense of taste, abnormal tastes ', ' Seizures ', ' Double vision or other vision problems, including blindness ', ' Dementia ', ' Excessive tiredness or fatigue ', ' Weakness of any body part ', ' Decreased hearing ', ' Confusion, disorientation ', ' Loss of sense of smell']"
