Disease_Name,Symptom_List
Aarskog syndrome,"['Mildly sunken chest (pectus excavatum) ', ' Testicles that have not come down (undescended) ', ' Mild to moderate cognitive problems ', ' Belly button that sticks out ', ' Top portion of the ear folded over slightly ', ' Bulge in the groin or scrotum ', ' Small nose with nostrils tipped forward ', ' Single crease in the palm of the hand ', ' Wide-set eyes with droopy eyelids ', ' Poorly developed middle section of the face ', ' Wide groove above the upper lip, crease below the lower lip ', ' Mild to moderate short height which may not be obvious until the child is 1 to 3 years old ', ' Small, broad hands and feet with short fingers and curved-in fifth finger ', ' Short fingers and toes with mild webbing ', ' Delayed teeth ', ' Scrotum surrounds the penis (shawl scrotum) ', ' Hairline with a ""widow\'s peak"" ', ' Delayed sexual maturity ', ' Rounded face ', ' Downward palpebral slant to eyes (palpebral slant is the direction of the slant from the inner to outer corner of the eye)']"
Aase syndrome,"['Narrow shoulders ', ' Droopy eyelids ', ' Absent or small knuckles ', ' Deformed ears ', ' Pale skin ', ' Triple-jointed thumbs ', ' Cleft palate ', ' Inability to fully extend the joints from birth']"
Abdominal aortic aneurysm,"['Passing out. ', ' Dizziness. ', ' Pain in the abdomen or back. The pain may be severe, sudden, persistent, or constant. It may spread to the groin, buttocks, or legs. ', ' Nausea and vomiting. ', ' Shock. ', ' Clammy skin. ', ' Rapid heart rate.']"
Abnormal uterine bleeding,"['Tenderness and dryness of the vagina ', ' Heavier bleeding (such as passing large clots, needing to change protection during the night, soaking through a sanitary pad or tampon every hour for 2 to 3 hours in a row) ', ' Mood swings ', ' Periods that occur less than 28 days apart (more common) or more than 35 days apart ', ' Bleeding or spotting from the vagina between periods ', ' Excessive growth of body hair in a male pattern (hirsutism) ', ' Hot flashes ', ' Bleeding that lasts for more days than normal or for more than 7 days ', ' Time between periods changes each month']"
ABO incompatibility,"['Feeling of ""impending doom"" ', ' Chest pain ', ' Yellow skin and whites of the eyes (jaundice) ', ' Bronchospasm (spasm of the muscles lining the lung; causes cough) ', ' Acute kidney failure ', ' Blood in urine ', ' Chills ', ' Low blood pressure ', ' Shortness of breath ', ' Dizziness ', ' Nausea and vomiting ', ' Fever ', ' Disseminated intravascular coagulation (DIC) ', ' Pain at infusion site ', ' Increased heart rate ', ' Low back pain']"
Abscess - abdomen or pelvis,"['Swollen belly ', ' Weakness ', ' Lack of appetite and possible weight loss ', ' Cough ', ' May be found only in one area of your belly or over most of your belly ', ' Pain in your chest or shoulder ', ' Fever or chills ', ' May become worse over time ', ' Diarrhea ', ' Pain in your back ', ' May be sharp or dull ', ' Nausea or vomiting']"
Absence seizure,"['Changes in alertness (consciousness), such as staring episodes, lack of awareness of surroundings, sudden halt in movement, talking, and other awake activities ', ' Interfere with school and learning ', ' Be mistaken for lack of attention, daydreaming or other misbehavior ', ' Wide awake ', ' Changes in muscle activity, such as no movement, hand fumbling, fluttering eyelids, lip smacking, chewing ', ' Occur many times a day ', ' Unaware of the seizure ', ' Stop walking and start again a few seconds later ', ' Thinking clearly ', ' Stop talking in mid-sentence and start again a few seconds later ', ' Occur for weeks to months before being noticed']"
Absent menstrual periods - secondary,"['Weight gain or weight loss ', ' Vaginal dryness ', ' Discharge from the breast or change in breast size ', ' Breast size changes ', ' Voice changes ', ' Acne and increased hair growth in a male pattern']"
Absent pulmonary valve,"['Failure to thrive ', ' Blue coloring to the skin (cyanosis) ', ' Coughing ', ' Wheezing ', ' Rapid breathing ', ' Poor appetite ', ' Respiratory failure']"
Acetaminophen and codeine overdose,"['Liver failure ', ' Convulsions (seizures) ', ' Shallow breathing ', ' Bluish skin (fingernails and lips) ', ' Kidney failure ', ' Spasms of the stomach and intestines ', ' Low blood pressure ', ' Stopped breathing ', ' Nausea and vomiting ', ' Coma (lack of responsiveness) ', ' Cold, clammy skin ', ' Stupor (lack of alertness) ', ' Heavy sweating ', ' Drowsiness ', ' Very small pupils ', ' Slow and labored breathing']"
Acetaminophen overdose,"['Nausea, vomiting ', ' Irritability ', ' JaundiceÂ\xa0(yellow skin and whites of the eyes) ', ' Appetite loss ', ' Abdominal pain, upset stomach ', ' Sweating ', ' Diarrhea ', ' Coma ', ' Seizures']"
Acetone poisoning,"['Feeling of drunkenness ', ' Pain in belly area ', ' Low blood pressure ', ' Lack of coordination ', ' Shortness of breath ', ' Slowed breathing rate ', ' Person may have a fruity odor ', ' Increased need to urinate ', ' Difficulty breathing ', ' Nausea and vomiting ', ' Stupor (confusion, decreased level of consciousness) ', ' Drowsiness ', ' Coma (unconscious, unresponsive) ', ' Sweet taste in mouth']"
Achalasia,"['Unintentional weight loss ', ' Heartburn ', ' Cough ', ' Backflow (regurgitation) of food ', ' Difficulty swallowing liquids and solids ', ' Chest pain, which may increase after eating, or may be felt as pain in the back, neck, and arms']"
Achilles tendon rupture - aftercare,"['Keep your foot elevated when you are sitting. ', ' Talk with your health care provider if you have heart disease, liver disease, high blood pressure, kidney disease, or have had stomach ulcers or bleeding. ', ' Use pillows to raise your leg above the level of your heart when you sleep. ', ' Put an ice pack on the area right after you injure it. ', ' Use a boot for walking or crutches to take weight off your ankle. ', ' Not give aspirin to children under 19. ', ' Consider quitting smoking (smoking can affect healing after surgery). ', ' Not take more pain killer than the dosage recommended on the bottle or by your provider.']"
